,before
35," Have More Free Student Events
"
35," MARTA station on-campus
"
35," make more space to study at library 
"
35," ECE curriculum needs some work,
"
36,"Make exams weigh less or balance them out with labs and homeworks, "
36," More practical labs/experiments which give more experience than homework, "
36," A social platform for Gatech students exclusively that allows for organization of events and groups, "
36," Allow students to go on culc rooftops, "
36," Notifications to smart watches.

"
37,"mental health, "
37," food, "
37," facilities, "
37," workload, "
37," gym
"
38,"Better dining halls
"
38,"Reduce price of on campus food(subsidize it)
"
38,"Get more busses for stungerette
"
38,"Advertise mental health resources more
"
38,"Don't have classes during meal times i.e no classes between eleven-twelve.
"
39,"Improve course availability, "
39," More study spots, "
39," More quiet spaces, "
39," Cheaper food, "
39," Better mental health access

"
40,"MARTA station on campus , "
40," Improved bus tracking app, "
40," More projects for ECE classes, less tests, "
40," More counselors, "
40," More inclusion among student diversity,"
41,Better mental health resource 
41, More classes for courses required for degrees 
41, Recorded lessons 
41, Better transportation resources 
41," Better housing maintenance
"
42,"Improve bus availability
"
42," Make more space to study at library
"
42," Cheaper/ better on campus dining options
"
42," Less stressful classes
"
42," Improve course availability 
"
43,"increase in clubs/groups and club visibility, "
43," emphasis on social life / mental health / extra curricular, "
43," less stressful courses / exams, "
43," school pride (other suggestions will fix this issue), "
43," guaranteed food options
"
44,"Better courses and projects that are closely related to the industry, "
44," Better housing and food on campus, "
44," Better tutoring resources and more flexible office hours, "
44," More advertisement on organizations, professional groups, and research that are open to students, "
44,"More stable on-campus network and VPN service.
"
45,"more student activities, "
45," better dining options, "
45," having multiple small gyms, "
45," grocery delivery service, "
45," online option for classes
"
46,More student organized events 
46, better mental health access 
46, Higher quality and healthier meal options 
46, Multiple semsters of free therapy/mental health counseling for students 
46," cheaper coffee shops
"
47,"smaller degree credit requirements that is competitive with other universities.
"
47," Placement of psychological counselors for student counseling during the semester
"
47," Unnecessary PreReqs!
"
47," Better Advisors 
"
47," No Exams for Upper Level Classes


"
48,"Better Dining hall food, "
48," more on-campus events, "
48," more study spaces, "
48," Fewer credit hour requirements, "
48," Better mental health
"
49,"Improve on Campus Housing/Create More On-Campus Housing, "
49,"  Increase tutoring and class collaboration resources for upper-level classes, "
49," Mentorship of older students and alumni for all majors, "
49," Online option for most classes, "
49," Make exams weigh less or balance them out with labs and homework more,
"
50,"More affordable housing, "
50," More coursework/life balance, "
50," Improve bus tracking, "
50," Less tests/exams and more hands on projects, "
50," More student events. 
"
51,Less stressful classes with less homework and exams and more breaks in between 
51," Better, more accessible mental health resources, "
51," More accessible instruction like offering an online/recorded section, "
51," Smaller class sizes, "
51," More food options, including healthier ones (not tech dining)

"
52,"more pass/fail classes, "
52," more days off, "
52," more practical labs/experiements, "
52," updated registration system, "
52," more dining options
"
53,"Improved mental health resource access
"
53," Improved public transportation and safer bike lanes
"
53," Better career and networking services.
"
53," Better on-campus access to nutritional food
"
53," Provide better access to study spaces
"
54,"Better Health system (Stamps cannot be closed after five PM while student live on campus even CRC close at eleven PM) including more mental health awareness activity and counselling
"
54," More study areas as we are increasing the student population we need more areas to study in fact more dorms also since we have more freshmen  student 
"
54," More social activities on Tech that include all students for instance more intercultural activities (food tasting etc...)
"
54," More hands-on project related to our ECE thread than Exams since we learn more by completing a project than just studying for an Exam
"
54," Bring more guest speaker to campus to talk about ongoing problems like how AI will impact the job market etc
"
55,"Time Stability-Work on building a schedule/pattern that pushes you slightly ahead in classes (it will build up in time), "
55," Easier auditing- Ask professors about classes and they might be able to direction to relevant information, "
55," Manageable work load- Spread out your homework across the week instead of completing it all in one go, "
55,"More consistent transportation- Depending on if you are near campus, you could walk (which is always reliable) and you would get some exercise along with it, "
55," More opportunities to connect with people-you could Join a club, VIP, or talk with people during labs.

"
56,"More Free class materials (including books), "
56," Better and more reliable WiFi, "
56," Better and healthier Food in dining halls, "
56," Better Bus services during the weekend, "
56," More Study spaces
"
57,"Class materials being free
"
57," Make exams weigh less.
"
57," More available instructions like having class available in person and recorced.
"
57," Support overall health (including mental health)
"
57," Better access to professors and staff

"
58,"Multiple semesters of free mental health counseling
"
58,"reduce fees
"
58,"more housing
"
58,"cleaner and cheaper housing
"
58,"open note tests
"
59,"make breaks between classes, "
59," more class materials, "
59," increase accessibility, "
59," make ECE region(take classes nearby), "
59," improve CRC 
"
